,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
55,nikolskoye,59.7035,30.7861,66.0,81,11,5.66,RU,1658539133
56,lata,40.1629,-8.3327,57.38,91,0,0.25,PT,1658553773
57,sidi ali,36.0998,0.4206,73.15,82,0,1.79,DZ,1658552293
58,gondanglegi,-7.7479,112.0132,77.97,76,95,13.06,ID,1658529967
59,airai,-8.9266,125.4092,64.09,52,30,3.8,TL,1658526857
60,victoria,22.2855,114.1577,89.82,77,0,5.99,HK,1658526672
61,tortoli,39.9256,9.6572,81.48,46,0,4.88,IT,1658549491
62,coquimbo,-29.9533,-71.3436,55.47,91,20,0.89,CL,1658489794
63,saskylakh,71.9167,114.0833,56.25,54,99,7.72,RU,0
64,fairbanks,64.8378,-147.7164,61.11,62,100,9.22,US,1658492216
65,flinders,-34.5833,150.8552,61.18,84,89,4.0,AU,1658523427
66,sugod,12.987,124.0805,83.64,78,100,5.88,PH,1658525214
67,kalengwa,-13.4659,25.0027,52.86,61,41,5.21,ZM,1658551365
68,ancud,-41.8697,-73.8203,41.23,97,100,17.52,CL,1658492025
69,pevek,69.7008,170.3133,33.19,91,100,6.35,RU,0
70,alofi,-19.0595,-169.9187,76.21,77,24,8.37,NU,1658512283
71,galveston,29.3669,-94.9669,86.23,74,98,1.99,US,1658489646
72,butaritari,3.0707,172.7902,81.81,76,100,7.83,KI,1658514424
73,bara,10.3744,10.7288,72.75,89,100,6.44,NG,1658552666
74,souillac,-20.5167,57.5167,69.17,81,45,14.72,MU,1658544236
75,bambous virieux,-20.3428,57.7575,66.22,75,9,15.82,MU,1658544161
76,petropavlovsk-kamchatskiy,53.0452,158.6483,64.99,59,75,11.18,RU,1658510878
77,cananeia,-25.0147,-47.9267,65.64,87,49,2.89,BR,1658483621
78,castro,-24.7911,-50.0119,57.9,71,86,2.04,BR,1658484098
79,cockburn town,21.4612,-71.1419,82.22,79,89,18.03,TC,1658484819
80,lompoc,34.6391,-120.4579,63.01,78,0,23.0,US,1658495081
81,sitka,57.0531,-135.33,53.49,94,100,4.61,US,1658493669
82,pangnirtung,66.1451,-65.7125,52.66,60,48,2.71,CA,1658471169
83,geraldton,-28.7667,114.6,55.81,82,40,12.66,AU,1658531416
84,chokurdakh,70.6333,147.9167,57.72,43,96,11.25,RU,0
85,dikson,73.5069,80.5464,51.55,78,83,14.63,RU,0
86,carnarvon,-24.8667,113.6333,64.47,58,99,6.08,AU,1658531218
87,mar del plata,-38.0023,-57.5575,48.16,88,66,7.0,AR,1658487531
88,dunedin,-45.8742,170.5036,50.81,63,13,4.0,NZ,1658520473
89,neepawa,50.2289,-99.4664,72.14,78,63,5.3,CA,1658487168
90,doha,25.2867,51.5333,93.18,75,0,2.3,QA,1658541380
91,port alfred,-33.5906,26.891,61.11,73,100,10.56,ZA,1658553038
92,bathsheba,13.2167,-59.5167,80.06,86,40,11.5,BB,1658482848
93,ornskoldsvik,63.2909,18.7153,58.15,67,100,9.22,SE,1658539985
94,palmer,42.1584,-72.3287,77.97,71,20,8.05,US,1658482348
95,brae,60.3964,-1.353,51.35,80,100,7.52,GB,1658546519
96,ambilobe,-13.2,49.05,61.25,82,0,3.96,MG,1658545570
97,jalingo,8.8833,11.3667,73.27,92,100,2.57,NG,1658552649
98,mayumba,-3.432,10.6554,67.62,90,17,4.9,GA,1658553910
99,newcastle,-32.9272,151.7765,63.59,78,75,5.75,AU,1658522994
100,iqaluit,63.7506,-68.5145,40.42,88,100,8.01,CA,1658474053
101,tanete,-3.9443,119.7848,80.15,78,88,8.39,ID,1658527764
102,salinas,36.6777,-121.6555,66.6,59,0,11.5,US,1658495077
103,clyde river,70.4692,-68.5914,51.98,63,23,2.35,CA,0
104,walvis bay,-22.9575,14.5053,55.09,82,5,11.72,NA,1658554803
105,el mante,22.7333,-98.9667,90.3,51,0,17.02,MX,1658491363
106,qeshm,26.9581,56.2719,88.14,81,99,14.63,IR,1658540053
107,shingu,33.7333,135.9833,83.48,64,14,4.52,JP,1658520072
108,timizart,36.8,4.2667,78.51,40,0,3.56,DZ,1658551268
109,hambantota,6.1241,81.1185,77.34,100,20,11.5,LK,1658536155
110,severo-kurilsk,50.6789,156.125,56.14,88,77,8.59,RU,1658512134
111,manokwari,-0.8667,134.0833,82.9,70,24,4.76,ID,1658524062
112,grand-santi,4.25,-54.3833,72.9,99,100,2.37,GF,1658482438
113,pisco,-13.7,-76.2167,60.85,82,75,3.44,PE,1658489287
114,lebu,-37.6167,-73.65,52.99,96,100,11.77,CL,1658491336
115,pochutla,15.7432,-96.4661,81.82,87,60,2.62,MX,1658491475
116,vila velha,-20.3297,-40.2925,70.95,91,40,5.75,BR,1658481305
117,anshun,26.25,105.9333,69.13,88,74,8.66,CN,1658528211
118,deputatskiy,69.3,139.9,58.73,46,67,11.77,RU,0
119,malanville,11.8685,3.3899,75.83,86,100,6.6,BJ,1658554289
120,hithadhoo,-0.6,73.0833,81.93,73,100,6.46,MV,1658538678
121,kirakira,-10.4544,161.9205,84.94,68,1,5.32,SB,1658518233
122,tamiahua,21.2667,-97.45,83.5,75,5,12.5,MX,1658491155
123,arraial do cabo,-22.9661,-42.0278,71.08,89,4,18.5,BR,1658481990
124,la ronge,55.1001,-105.2842,51.22,80,100,6.82,CA,1658487151
125,hit,33.6416,42.8251,86.99,20,0,8.05,IQ,1658542452
126,tahoua,14.8888,5.2692,79.48,65,100,6.58,NE,1658553554
127,aranda de duero,41.6704,-3.6892,63.37,72,6,5.28,ES,1658552405
128,sehithwa,-20.4667,22.7167,57.06,59,4,6.15,BW,1658552582
129,farafangana,-22.8167,47.8333,65.01,87,50,1.7,MG,1658546792
130,new norfolk,-42.7826,147.0587,53.22,78,100,1.01,AU,1658525546
131,honiara,-9.4333,159.95,86.9,60,1,4.83,SB,1658518614
132,mataura,-46.1927,168.8643,43.48,67,7,2.8,NZ,1658520926
133,san miguel,13.4833,-88.1833,74.43,96,100,1.99,SV,1658489704
134,sao gabriel da cachoeira,-0.1303,-67.0892,72.39,98,100,2.13,BR,1658485877
135,buckeye,33.3703,-112.5838,111.6,15,100,5.75,US,1658493364
136,anadyr,64.75,177.4833,50.0,71,75,6.71,RU,1658500665
137,atyrau,47.1167,51.8833,66.22,68,0,2.24,KZ,1658538011
138,wanaka,-44.7,169.15,37.11,88,10,0.29,NZ,1658520581
139,chuy,-33.6971,-53.4616,56.19,96,100,5.75,UY,1658485963
140,thompson,55.7435,-97.8558,56.14,75,100,5.82,CA,1658485146
141,faanui,-16.4833,-151.75,78.4,75,9,11.16,PF,1658507675
142,san juan,-31.5375,-68.5364,56.17,32,0,2.35,AR,1658489310
143,chakwal,32.9334,72.8585,80.55,81,100,2.77,PK,1658535335
144,cabo san lucas,22.8909,-109.9124,93.04,50,0,5.99,MX,1658493974
145,bluff,-46.6,168.3333,43.81,74,1,5.48,NZ,1658521132
146,georgetown,5.4112,100.3354,80.87,88,20,0.0,MY,1658531606
147,san cristobal,7.7669,-72.225,65.93,98,71,2.62,VE,1658486404
148,rajapur,25.3833,81.15,84.0,78,100,12.17,IN,1658534259
149,mildura,-34.2,142.15,57.07,78,100,11.54,AU,1658525465
150,nanortalik,60.1432,-45.2371,45.93,84,45,1.39,GL,1658470661
151,kibala,9.1104,18.3463,70.3,96,100,4.16,TD,1658550953
152,manolas,38.05,21.35,70.84,76,0,0.0,GR,1658546978
153,saint george,37.1041,-113.5841,106.5,14,0,12.66,US,1658493076
154,hermanus,-34.4187,19.2345,53.8,83,81,13.98,ZA,1658554981
155,poltavka,54.3663,71.7632,59.05,72,17,9.48,RU,1658531348
156,norman wells,65.282,-126.8329,80.28,30,97,7.9,CA,1658486783
157,tiksi,71.6872,128.8694,47.95,83,100,6.38,RU,0
158,alamosa,37.4695,-105.87,78.78,34,0,9.22,US,1658491169
159,lagoa,39.05,-27.9833,71.65,92,100,8.23,PT,1658558670
160,oistins,13.0667,-59.5333,80.69,74,40,11.5,BB,1658482866
161,kieta,-6.2167,155.6333,85.37,62,2,5.61,PG,1658519362
162,husavik,66.0449,-17.3389,47.66,93,17,2.59,IS,1658546290
163,east london,-33.0153,27.9116,64.2,66,100,12.37,ZA,1658552721
164,gordeyevka,52.9569,31.9703,57.54,88,0,6.46,RU,1658541337
165,severnyy,50.677,36.5532,57.24,94,0,8.95,RU,1658540858
166,ust-nera,64.5667,143.2,68.49,77,99,5.08,RU,1658509069
167,belmonte,-15.8631,-38.8828,71.04,85,15,7.49,BR,1658480531
168,kodiak,57.79,-152.4072,53.11,76,75,8.05,US,1658497481
169,jiuquan,39.7432,98.5174,83.03,14,0,5.39,CN,1658528182
170,yerbogachen,61.2767,108.0108,70.3,61,100,5.77,RU,1658519763
171,ola,59.5833,151.2833,77.14,64,19,6.6,RU,1658510228
172,ketchikan,55.3422,-131.6461,61.38,77,91,5.14,US,1658493403
173,pitimbu,-7.4706,-34.8086,75.65,81,100,12.03,BR,1658478782
174,port lincoln,-34.7333,135.8667,58.21,73,0,6.93,AU,1658527042
175,mersing,2.4312,103.8405,81.43,79,94,2.66,MY,1658531029
176,sisimiut,66.9395,-53.6735,48.34,79,100,6.53,GL,1658467259
177,daru,-9.0763,143.2092,79.0,85,49,11.05,PG,1658522599
178,munak,29.5187,76.8486,81.5,78,96,9.64,IN,1658534810
179,shakawe,-18.3667,21.85,55.18,59,3,5.44,BW,1658552584
180,malakal,9.5334,31.6605,74.77,83,100,3.67,SS,1658547718
181,leningradskiy,69.3833,178.4167,38.61,80,65,7.63,RU,0
182,revelstoke,50.9832,-118.2023,82.69,36,79,5.39,CA,1658491475
183,chuguyevka,44.1653,133.8633,62.49,97,100,2.04,RU,1658518918
184,vestmannaeyjar,63.4427,-20.2734,51.28,92,100,1.48,IS,1658549254
185,jiangyou,31.7667,104.7167,69.84,89,99,3.67,CN,1658527838
186,khatanga,71.9667,102.5,40.12,92,100,13.42,RU,0
187,chkalovskoye,44.8392,133.0436,64.56,99,100,2.46,RU,1658518985
188,sur,22.5667,59.5289,85.77,69,100,7.52,OM,1658539757
189,tevriz,57.509,72.4042,54.07,89,100,3.42,RU,1658530081
190,araripina,-7.5761,-40.4983,72.36,49,25,9.53,BR,1658480157
191,san buenaventura,27.0833,-101.5333,97.41,21,6,23.0,MX,1658491495
192,bubaque,11.2833,-15.8333,78.22,87,100,18.07,GW,1658558958
193,acarau,-2.8856,-40.12,79.45,78,59,17.07,BR,1658479648
194,blagoyevo,63.3667,47.9167,61.86,66,83,7.31,RU,1658532909
195,pionerskiy,54.9508,20.2275,65.75,79,42,11.61,RU,1658543542
196,igrim,63.1906,64.4162,49.35,71,99,5.79,RU,1658529064
197,rudnogorsk,57.2639,103.7519,66.4,75,99,5.64,RU,1658522644
198,olafsvik,64.8945,-23.7142,53.31,80,8,4.9,IS,1658548942
199,lorengau,-2.0226,147.2712,84.42,74,33,10.87,PG,1658520998
200,butembo,0.15,29.2833,57.85,83,20,2.39,CD,1658549125
201,saint-jean-de-maurienne,45.1667,6.5833,52.25,62,89,2.64,FR,1658549293
202,port elizabeth,-33.918,25.5701,58.32,87,100,10.0,ZA,1658553397
203,mahebourg,-20.4081,57.7,66.25,76,16,16.02,MU,1658544181
204,samarai,-10.6167,150.6667,81.75,75,83,7.65,PG,1658520949
205,khandyga,62.6667,135.6,65.71,96,100,1.74,RU,1658512297
206,hokitika,-42.7167,170.9667,48.69,78,100,6.08,NZ,1658519800
207,bandarbeyla,9.4942,50.8122,76.6,78,2,28.66,SO,1658543125
208,tual,-5.6667,132.75,77.79,78,100,15.35,ID,1658524805
209,umea,63.8284,20.2597,57.13,72,100,6.91,SE,1658539226
210,kavaratti,10.5669,72.642,81.09,79,100,20.13,IN,1658537787
211,matoury,4.8483,-52.3317,76.96,94,20,0.0,GF,1658481892
212,sorland,67.667,12.6934,49.86,87,100,17.49,NO,1658536870
213,yanam,16.7333,82.2167,78.51,86,100,7.76,IN,1658534904
214,weihe,32.9952,105.3247,67.57,87,72,3.89,CN,1658527532
215,rajgarh,28.6333,75.3833,83.17,77,100,11.1,IN,1658535269
216,te anau,-45.4167,167.7167,40.78,86,95,0.83,NZ,1658521055
217,altagracia de orituco,9.8601,-66.3814,71.98,90,23,5.93,VE,1658484809
218,touros,-5.1989,-35.4608,74.88,87,84,13.85,BR,1658478735
219,madang,-5.2246,145.7966,84.9,66,8,3.76,PG,1658521635
220,tuatapere,-46.1333,167.6833,46.11,75,15,2.64,NZ,1658521198
221,quatre cocos,-20.2078,57.7625,66.09,76,6,15.28,MU,1658544147
222,san patricio,28.017,-97.5169,86.36,64,5,15.61,US,1658490421
223,klaksvik,62.2266,-6.589,49.12,83,100,7.0,FO,1658546763
224,cidreira,-30.1811,-50.2056,62.69,95,100,2.98,BR,1658484749
225,codrington,-38.2667,141.9667,51.67,95,100,10.69,AU,1658526065
226,kulhudhuffushi,6.6221,73.07,81.52,78,100,16.67,MV,1658538042
227,caraballeda,10.6112,-66.8522,78.87,94,20,4.61,VE,1658484853
228,sunyani,7.3399,-2.3268,67.98,98,86,3.49,GH,1658556075
229,bethel,41.3712,-73.414,75.38,86,0,0.0,US,1658482746
230,broken hill,-31.95,141.4333,59.94,60,100,11.23,AU,1658525354
231,coihaique,-45.5752,-72.0662,19.35,93,100,4.61,CL,1658492252
232,noumea,-22.2763,166.4572,75.99,99,100,1.86,NC,1658518274
233,piacabucu,-10.4056,-36.4344,73.54,83,93,8.12,BR,1658479437
234,tyup,42.7276,78.3648,70.29,34,0,3.09,KG,1658532513
235,faya,18.3851,42.4509,64.92,55,99,5.01,SA,1658544287
236,vao,-22.6667,167.4833,74.48,89,100,26.62,NC,1658518068
237,saint-pierre,-21.3393,55.4781,64.0,74,40,8.05,RE,1658544808
238,corinto,37.9407,22.9573,79.54,43,0,0.96,GR,1658546609
239,laguna,38.421,-121.4238,94.55,20,0,12.66,US,1658494758
240,tiarei,-17.5333,-149.3333,82.42,77,17,9.46,PF,1658507195
241,isangel,-19.55,169.2667,78.55,77,100,14.97,VU,1658517326
242,ostrovnoy,68.0531,39.5131,51.62,88,99,16.31,RU,1658529672
243,kimbe,-5.5502,150.1429,88.12,61,5,2.33,PG,1658520621
244,gat,31.61,34.7642,71.49,100,0,0.85,IL,1658544654
245,talcahuano,-36.7167,-73.1167,51.48,100,100,4.61,CL,1658491082
246,adrar,20.5022,-10.0711,87.46,46,76,11.25,MR,1658556681
247,palmerston north,-40.35,175.6167,49.98,82,100,1.99,NZ,1658518304
248,bahia honda,22.9036,-83.1592,79.39,84,97,7.14,CU,1658487550
249,hamilton,39.1834,-84.5333,81.61,68,0,4.61,US,1658485779
250,calvinia,-31.4707,19.776,47.75,48,100,5.17,ZA,1658554483
251,kailua,21.4022,-157.7394,81.99,68,20,13.8,US,1658505614
252,dondo,-19.6094,34.7431,65.71,95,0,3.71,MZ,1658549611
253,jalu,29.0331,21.5482,76.59,56,0,13.98,LY,1658548146
254,maple creek,49.9168,-109.4848,75.69,40,72,12.55,CA,1658489653
255,san quintin,30.4833,-115.95,69.21,76,1,12.53,MX,1658494546
256,salinopolis,-0.6136,-47.3561,78.44,84,76,10.09,BR,1658481184
257,papetoai,-17.4961,-149.8729,81.55,75,24,11.16,PF,1658507321
258,los llanos de aridane,28.6585,-17.9182,73.13,71,100,14.97,ES,1658557667
259,bonthe,7.5264,-12.505,75.87,85,99,8.81,SL,1658558501
260,amboasary,-25.0333,46.3833,60.91,86,0,4.27,MG,1658547372
261,tynda,55.1667,124.7167,73.81,58,95,5.01,RU,1658518364
262,meulaboh,4.1363,96.1285,78.69,84,94,4.92,ID,1658532729
263,fortuna,40.5982,-124.1573,66.36,70,1,1.99,US,1658495063
264,baiyin,36.5583,104.2081,71.78,33,0,4.88,CN,1658527304
265,derzhavinsk,51.1,66.3167,64.99,62,2,4.34,KZ,1658533599
266,bilibino,68.0546,166.4372,49.44,51,6,6.62,RU,1658499048
267,bakel,14.905,-12.4568,79.93,79,100,12.68,SN,1658557807
268,cabras,39.93,8.5314,74.77,61,0,3.98,IT,1658549761
269,ikom,5.9667,8.7063,72.28,98,100,1.99,NG,1658553549
270,yulara,-25.2406,130.9889,66.58,26,5,8.05,AU,1658527094
271,fuzhou,26.0614,119.3061,95.34,55,41,2.08,CN,1658525022
272,baghdad,33.3406,44.4009,89.98,18,0,12.01,IQ,1658542114
273,esperance,-33.8667,121.9,59.11,65,4,20.67,AU,1658530281
274,avera,33.194,-82.5271,82.63,66,99,5.68,US,1658486171
275,pandan,14.0453,124.1694,83.52,81,100,3.85,PH,1658525093
276,sidi bin nur,35.5333,10.9167,80.51,65,0,4.76,TN,1658549853
277,comodoro rivadavia,-45.8667,-67.5,28.26,69,0,4.61,AR,1658491211
278,krasnoselkup,65.7,82.4667,62.28,77,100,8.68,RU,1658522632
279,kaitangata,-46.2817,169.8464,43.81,78,3,2.15,NZ,1658520708
280,provideniya,64.3833,-173.3,51.08,60,97,3.87,RU,1658585353
281,minas,-34.3759,-55.2377,51.3,96,7,6.17,UY,1658486477
282,roura,4.7263,-52.3274,76.91,94,20,0.0,GF,1658481902
283,ginir,7.1333,40.7,54.64,81,99,8.61,ET,1658545766
284,tautira,-17.7333,-149.15,76.44,78,33,10.65,PF,1658507171
285,khor,47.8861,134.9464,64.17,87,100,6.6,RU,1658517891
286,odienne,9.51,-7.5692,69.53,95,96,3.96,CI,1658557137
287,puebla,18.8333,-98.0,60.82,83,100,4.81,MX,1658491537
288,bridlington,54.0831,-0.1919,56.61,85,100,9.24,GB,1658548726
289,muramvya,-3.2682,29.6079,57.52,60,67,2.55,BI,1658549347
290,port hardy,50.6996,-127.4199,60.31,76,15,13.73,CA,1658493763
291,nalut,30.3333,10.85,78.6,28,0,9.06,LY,1658550556
292,liverpool,53.4106,-2.9779,57.72,91,17,1.14,GB,1658549600
293,mahibadhoo,3.7833,72.9667,82.81,73,100,17.98,MV,1658538320
294,virovitica,45.8319,17.3839,71.44,50,0,3.62,HR,1658546566
295,nantucket,41.2835,-70.0995,74.41,72,100,8.05,US,1658481965
296,waipawa,-41.4122,175.5153,45.91,68,96,5.53,NZ,1658518496
297,buraydah,26.326,43.975,89.38,14,38,6.82,SA,1658543078
298,oskarshamn,57.2645,16.4484,61.99,79,88,7.78,SE,1658543624
299,talnakh,69.4865,88.3972,72.21,41,15,4.12,RU,0
300,majholi,23.5,79.9167,78.37,87,100,1.88,IN,1658534762
301,eyl,7.9803,49.8164,77.25,70,3,21.88,SO,1658543501
302,tawau,4.2498,117.8871,81.57,76,75,2.48,MY,1658527497
303,kruisfontein,-34.0033,24.7314,51.71,78,100,5.66,ZA,1658553609
304,havelock,34.8791,-76.9013,80.82,92,0,9.22,US,1658484589
305,amapa,1.0,-52.0,71.02,98,100,1.72,BR,1658482155
306,koforidua,6.0941,-0.2591,69.15,95,57,3.74,GH,1658555690
307,srednekolymsk,67.45,153.6833,57.11,45,4,11.61,RU,1658503256
308,sinnamary,5.3833,-52.95,77.95,86,28,6.98,GF,1658481992
309,nushki,29.5542,66.0215,85.08,53,100,12.17,PK,1658537405
310,san cosme y damian,-27.3167,-56.35,73.58,79,78,5.17,PY,1658485894
311,torbay,47.6666,-52.7314,68.43,84,5,8.59,CA,1658476550
312,krasnorechenskiy,44.6265,135.3532,63.46,80,100,2.53,RU,1658518472
313,roseburg,43.2165,-123.3417,80.78,40,0,9.22,US,1658494408
314,ayan,56.45,138.1667,61.41,83,27,13.78,RU,1658514682
315,marystown,47.1666,-55.1483,62.85,100,60,5.32,CA,1658477240
316,hovd,48.0056,91.6419,66.9,41,2,1.92,MN,1658528266
317,challans,46.8436,-1.8749,58.5,77,75,7.99,FR,1658550982
318,taltal,-25.4,-70.4833,57.83,82,100,3.6,CL,1658489075
319,pimentel,-6.8367,-79.9342,62.46,87,13,10.96,PE,1658489555
320,mbekenyera,-10.0,38.9833,61.07,96,0,1.74,TZ,1658547695
321,montes altos,-5.8333,-47.0667,81.28,37,95,4.54,BR,1658481577
322,coahuayana,18.7333,-103.6833,82.26,83,100,3.49,MX,1658492912
323,baliton,5.7436,125.2364,83.17,73,50,2.57,PH,1658525600
324,boende,-0.2167,20.8667,69.48,97,100,2.42,CD,1658551177
325,nagato,34.3833,131.2,77.95,75,17,6.31,JP,1658521131
326,gharo,24.7424,67.5856,84.42,80,100,15.68,PK,1658537587
327,ust-tsilma,65.441,52.1498,53.24,75,100,5.1,RU,1658530186
328,kainantu,-6.2887,145.8655,74.48,56,7,4.21,PG,1658521713
329,tiznit,29.5833,-9.5,80.02,40,66,1.9,MA,1658555534
330,itupiranga,-5.1347,-49.3267,77.61,50,4,1.77,BR,1658482057
331,labytnangi,66.6572,66.4183,49.19,75,100,5.88,RU,1658525411
332,biu,10.6129,12.1946,68.88,91,100,1.97,NG,1658552292
333,morondava,-20.2833,44.2833,68.31,72,79,4.61,MG,1658547388
334,atasu,48.6814,71.6433,68.05,39,100,3.36,KZ,1658532915
335,koslan,63.4564,48.8989,60.93,65,78,7.52,RU,1658532610
336,minab,27.1467,57.0801,88.02,78,100,4.9,IR,1658539838
337,portland,45.5234,-122.6762,77.27,52,91,4.0,US,1658493804
338,vanavara,60.34,102.2797,68.29,60,100,6.78,RU,1658521637
339,saint-jean-port-joli,47.2171,-70.2658,68.11,86,38,12.68,CA,1658480860
340,alice springs,-23.7,133.8833,69.22,32,0,3.44,AU,1658526237
341,mansa,29.9833,75.3833,82.69,76,77,10.0,IN,1658535105
342,yumen,40.2833,97.2,81.99,13,0,12.35,CN,1658528410
343,wynyard,-41.0,145.7167,54.99,84,100,8.37,AU,1658525578
344,yakeshi,49.2833,120.7333,70.12,79,99,10.47,CN,1658520982
345,virginia beach,36.8529,-75.978,84.52,74,40,4.61,US,1658484083
346,sioux lookout,50.1001,-91.917,66.52,58,11,9.6,CA,1658485387
347,tasiilaq,65.6145,-37.6368,35.76,75,24,7.52,GL,1658464989
348,nardaran,40.5561,50.0056,76.64,69,0,13.8,AZ,1658539698
349,upernavik,72.7868,-56.1549,42.48,95,100,15.41,GL,0
350,san ramon,37.7799,-121.978,73.87,47,0,17.27,US,1658494990
351,constitucion,-35.3333,-72.4167,52.65,94,100,7.94,CL,1658490725
352,kajaani,64.2273,27.7285,51.85,93,0,1.14,FI,1658537122
353,sayaxche,16.5167,-90.1667,73.18,98,100,2.53,GT,1658489887
354,juba,4.8517,31.5825,69.62,91,79,2.33,SS,1658548158
355,omboue,-1.5746,9.2618,69.85,84,61,8.23,GA,1658554081
356,naryan-mar,67.6713,53.087,47.97,94,100,12.37,RU,1658527126
357,ipanema,-30.1391,-51.2244,67.44,92,75,4.61,BR,1658484989
358,coihueco,-36.6167,-71.8333,48.94,93,0,0.0,CL,1658490760
359,golden,39.7555,-105.2211,86.02,27,75,24.16,US,1658490655
360,berezovyy,51.6667,135.7,59.72,95,100,2.95,RU,1658516780
361,grand gaube,-20.0064,57.6608,66.38,78,1,3.0,MU,1658544151
362,huaicheng,23.9051,112.1931,87.4,65,0,1.81,CN,1658526969
363,skibbereen,51.55,-9.2667,62.11,95,100,11.88,IE,1658551637
364,maceio,-9.6658,-35.7353,74.64,88,75,5.75,BR,1658479202
365,sinnar,13.5691,33.5672,83.37,56,26,9.31,SD,1658546886
366,savinka,50.0785,47.0994,66.9,50,100,4.81,RU,1658538476
367,vardo,70.3705,31.1107,51.78,93,75,3.44,NO,0
368,kuryk,43.2,51.65,77.47,57,0,14.74,KZ,1658538843
369,vilyuysk,63.7553,121.6247,71.67,64,100,4.83,RU,1658514901
